DeviceID,GASMETERID,block_code
55728202,94746141,2033
55728199,94746217,2033
31805825,,2007
56976442,92337901,2027
31800914,,2007
56976448,46301590,2027
31803111,90974911,2027
31800905,,2007
20379027,,2007
31800915,,2007
31806157,40474194,2015
31806030,,2015
83770480,,4007
31803425,40474026,2002
31803123,,2002
30525885,40488478,1024
31800999,40474580,1024
18203662,54458120,1024
30525895,40475205,1024
30525886,40488314,1024
31801919,40487773,1024
30340800,56354244,1024
30340817,33465863,1024
30387873,46261473,1024
30387868,,1024
31801353,,1024
30340920,,1024
30387852,,1024
20380617,46300285,1024
20376049,46263917,1024
20376017,46263693,1024
30129397,49768175,1024
30129424,49768120,1024
30129077,,1012
30129066,,1012
30129083,,1014
31772689,,1017
335682602,,1012
335682600,93260127,1012
83779260,35588274,4008
83779458,100494439,2028
21654937,90936000,2008
31050282,97049031,1009
31051291,,1009
57531743,54460001,1010
57531730,33465994,1009
57531727,,1009
57531722,,1009
57531736,52196713,1009
57531709,,1009
57531717,46300328,1010
20376798,94746272,3005
31034007,,3005
31807834,49747369,4006
31807797,49747370,4006
28356806,49760335,3003
28356561,,3003
28356565,49760895,3003
31806407,49746761,4006
20377003,49746777,4006
20377004,90971641,4006
31806408,90971663,4006
30524835,49746748,4006
31806434,,4006
30524832,,4006
31806433,,4006
20377020,90971665,4006
20377022,49746773,4006
31807809,49746537,4006
31042955,46301494,4006
31042954,46301298,4006
31042944,46301267,4006
18203869,,4006
18205058,46334444,4006
18205052,46334855,4006
83779604,,2002
18203729,94746108,1000
83769966,,1000
83769968,,1000
83769967,,1000
83769947,,1000
83769946,,1000
83769969,,1000
83769948,,1000
18203731,,1000
18198249,49767880,1001
31803253,46345350,2013
31803214,54356279,2013
31803254,,2013
20381063,46302130,2010
20381061,35583777,2010
31802689,54356298,2013
31803206,56365809,2013
83779581,92337721,2028
57533225,,2002
31801180,,2002
31801518,,2002
57060066,91563643,2009
18039051,,2002
18039044,,2002
18039123,,2002
31051314,,2002
18039041,,2002
18039111,,2002
18039052,,2002
20176579,,2004
11571352,,2004
11525100,,2004
11525101,,2004
11571353,,2004
20176584,,2004
31043141,,2004
11525073,,2002
11549581,,2002
11549593,,2002
11571347,,2002
11571346,,2002
5827510,,2002
5827502,,2002
5827481,,2002
5827504,,2002
20176490,,2004
20176493,,2004
20176472,,2004
20176470,,2004
20176498,,2004
20176492,,2004
31019336,,4002
83771628,30191780,3007
83771893,94746297,3007
31809090,,2028
338379364,90974842,2006
338379365,46261766,2006
338379368,46261683,2005
338379370,46264035,2005
338379388,56365688,2005
338379366,46340798,2005
338379367,46264038,2006
338379387,46263900,2006
83770190,46264032,2005
20376031,46263543,2005
338379389,46346009,2006
338379390,46346054,2006
338379059,46261793,2006
338379056,46261775,2006
338379057,46340821,2006
338379058,46340805,2006
31042070,54355665,4010
18203407,54362619,4010
29926146,33466605,4010
31048186,40488035,4010
31048185,33466537,4010
31042054,49756026,4010
31801926,54443907,4010
31048196,56365832,4010
31048198,54355679,4010
52300885,,4010
31044944,,4010
31044945,,4010
31048197,,4010
31048195,40488106,4010
31803400,,2002
11571376,,1001
11565996,,1001
11565960,,1001
18019514,,1001
18002773,,1001
18019509,,1001
18002761,,1001
18038721,,1001
11565997,,1001
18038722,,1001
18002780,,1001
18002772,,1001
11565959,,1001
31048401,,1001
31048388,,1001
31048135,,1001
20381009,,1001
31048389,,1001
31048146,,1001
31048400,,1001
31048136,,1001
20381021,,1001
20381017,,1001
31048404,,1001
31048145,,1001
31048383,,1001
20381006,,1001
31048382,,1001
31801614,,1010
83779628,92337678,1010
11209457,,1014
11209455,,1014
11209454,,1014
31045081,,2000
20380229,33418817,2010
20378948,54460038,2010
20379759,,2010
31800832,90974063,2009
31801007,49747515,2009
20381089,35569354,2010
18198259,40474110,2009
20378850,35568770,2010
20380236,35561525,2010
52298089,,2009
31034107,,2009
20376663,46301598,2010
31042956,92337669,2009
31806364,90971809,2009
31048418,,2010
31803113,46264096,2009
31803114,46301208,2009
31803112,40487848,2009
31042963,92337657,2009
31802168,33465532,2010
31802169,33458072,2010
31800894,54458057,2010
20378849,56365710,2010
31042957,56354603,2009
52300863,34355557,2010
31804890,35587105,2009
83771654,33419154,2017
31804728,46301892,3007
55968280,90971673,3007
55968277,33466547,3007
56764280,,3007
31801187,,3007
57531701,,3007
31801613,,3007
56974341,54459620,3007
56443273,54458060,3007
56506719,,3007
56506692,92351846,3007
83769700,56356184,1001
83769561,56356030,1001
83769556,56354512,1001
83769906,56354106,1001
83769750,56355518,1001
83769558,56354126,1001
83769560,56356189,1001
83769554,56355472,1001
83769698,56355673,1001
83769699,56356069,1001
83769559,56354237,1001
83769908,100493779,1001
83769701,56355782,1001
83769557,56354206,1001
83769555,56354275,1001
83769909,56356064,1001
83769907,56356213,1001
31803438,49747058,3006
31803292,,3006
83779618,90156032,1002
31116153,,2001
83769904,90008656,2001
30129372,56356819,2001
30129386,,2001
30129387,54356150,2001
30129392,49761666,2001
30129395,54354599,2001
30129436,54356145,2001
31804939,54457973,2001
30129063,54356186,2001
30129362,49760734,2001
31806235,54458121,2001
30129361,54354638,2001
30129360,41119771,2001
55970846,92337787,1008
30129390,49754474,2001
30129346,49767915,2001
30129348,46335365,2001
30129408,33418867,2001
30129376,54460295,2001
83769671,49767817,1008
83769624,46264404,1008
83769618,49767392,1008
83769614,49767678,1008
83769621,49767821,1008
83769669,49767485,1008
83769645,49767658,1008
83769640,46264055,1008
83769622,49767358,1008
83769673,49767867,1008
83769615,49746990,1008
83769625,46264399,1008
83769670,49767823,1008
83769617,49767348,1008
83769643,46264411,1008
83769619,49767673,1008
83769623,49767364,1008
83769641,49767850,1008
83769672,49767855,1008
83769616,49767820,1008
83769668,49767858,1008
83769666,46335343,1008
83769647,49767876,1008
83769667,46264081,1008
83769638,49767846,1008
83769639,40487783,1008
83769642,49767871,1008
83769644,49767828,1008
83769620,56364169,1008
18038738,56356473,2001
31804264,54387614,2001
18039196,54356122,2018
18039202,46301999,2019
18039195,,2018
18039200,46263758,2018
18039201,,2019
18039199,46263826,2019
26878956,,1016
85116775,35587136,3010
338379452,,2006
338379300,,2007
338379303,,2007
338379454,,2007
338379455,,2007
31772798,,2001
85116792,94746288,2007
338379405,94746109,2007
83771646,,1000
83771645,,1000
83771644,,1000
31801323,46302356,1001
31806310,,1001
29340774,49769121,1000
18198245,49756338,1001
29339907,97049137,1000
29339932,,1000
29339933,,1000
31802676,,1000
18195646,46294793,1000
29925031,46294831,1000
29339874,54378651,1001
18195886,49747100,2000
31045119,40474509,2000
31745194,46335131,2001
31745174,,2000
55968251,49769138,2001
55968266,90972312,2001
31051032,,2001
56763254,41117187,4003
56971287,90134784,4004
83779463,,2024
335682601,,2009
83779368,,2009
83771675,,2009
83779380,92337734,1002
31809162,40474049,1032
20378890,54460164,1032
83770151,49760443,1032
