block_code,total_population,num_white,num_african_american,num_american_indian,num_asian,num_hispanic_latino,median_income,num_housing_units,median_house_value
4032,2895.0,2805.0,0.0,0.0,90.0,0.0,109688.0,972.0,326000.0
5000,922.0,463.0,0.0,0.0,0.0,459.0,42381.0,380.0,141700.0
5001,922.0,463.0,0.0,0.0,0.0,459.0,42381.0,380.0,141700.0
5002,922.0,463.0,0.0,0.0,0.0,459.0,42381.0,380.0,141700.0
5003,922.0,463.0,0.0,0.0,0.0,459.0,42381.0,380.0,141700.0
5004,922.0,463.0,0.0,0.0,0.0,459.0,42381.0,380.0,141700.0
5005,922.0,463.0,0.0,0.0,0.0,459.0,42381.0,380.0,141700.0
5006,922.0,463.0,0.0,0.0,0.0,459.0,42381.0,380.0,141700.0
5007,922.0,463.0,0.0,0.0,0.0,459.0,42381.0,380.0,141700.0
5008,922.0,463.0,0.0,0.0,0.0,459.0,42381.0,380.0,141700.0
5009,922.0,463.0,0.0,0.0,0.0,459.0,42381.0,380.0,141700.0
5010,922.0,463.0,0.0,0.0,0.0,459.0,42381.0,380.0,141700.0
